# This document stores information about OSRS items that are
# not directly extractable from the OSRS Wiki. The purpose of
# the document is to aid item metadata extraction by normalizing
# item names
#
# The structure of the file is:
# itemID|itemName|normalizedName|statusCode
# 1) itemID is directly from the OSRS client cache
# 2) itemName is directly from the OSRS client cache
# 3) nomalizedName is the itemName normalized for the OSRS Wiki
# 4) statusCode documents specific item scenarios
#
# The specified statusCodes are:
# 0: no issue, normalized name used for direct Wiki query
# 1: invalid item (item has no name, or Null name)
# 2: unobtainable item (items that are no longer in game)
# 3: unusable item (things like board game pieces, puzzle box pieces)
# 4: item is not really an item (usually an item ID to link to an icon)
# 5: item has no dedicated, or related, page on OSRS wiki
# 6: equipable item bonuses extraction error
#
19|Holy grail|Holy grail (item)|0
32|Lit black candle|Black candle|0
33|Lit candle|Candle|0
34|Null|None|1
83|Lever|Lever (Temple of Ikov)|0
113|Strength potion(4)|Strength potion|0
114|Strength potion(4)|Strength potion|0
115|Strength potion(3)|Strength potion|0
116|Strength potion(3)|Strength potion|0
117|Strength potion(2)|Strength potion|0
118|Strength potion(2)|Strength potion|0
119|Strength potion(1)|Strength potion|0
120|Strength potion(1)|Strength potion|0
121|Attack potion(3)|Attack potion|0
122|Attack potion(3)|Attack potion|0
123|Attack potion(2)|Attack potion|0
124|Attack potion(2)|Attack potion|0
125|Attack potion(1)|Attack potion|0
126|Attack potion(1)|Attack potion|0
127|Restore potion(3)|Restore potion|0
128|Restore potion(3)|Restore potion|0
129|Restore potion(2)|Restore potion|0
130|Restore potion(2)|Restore potion|0
131|Restore potion(1)|Restore potion|0
132|Restore potion(1)|Restore potion|0
133|Defence potion(3)|Defence potion|0
134|Defence potion(3)|Defence potion|0
135|Defence potion(2)|Defence potion|0
136|Defence potion(2)|Defence potion|0
137|Defence potion(1)|Defence potion|0
138|Defence potion(1)|Defence potion|0
139|Prayer potion(3)|Prayer potion|0
140|Prayer potion(3)|Prayer potion|0
141|Prayer potion(2)|Prayer potion|0
142|Prayer potion(2)|Prayer potion|0
143|Prayer potion(1)|Prayer potion|0
144|Prayer potion(1)|Prayer potion|0
145|Super attack(3)|Super attack|0
146|Super attack(3)|Super attack|0
147|Super attack(2)|Super attack|0
148|Super attack(2)|Super attack|0
149|Super attack(1)|Super attack|0
150|Super attack(1)|Super attack|0
151|Fishing potion(3)|Fishing potion|0
152|Fishing potion(3)|Fishing potion|0
153|Fishing potion(2)|Fishing potion|0
154|Fishing potion(2)|Fishing potion|0
155|Fishing potion(1)|Fishing potion|0
156|Fishing potion(1)|Fishing potion|0
157|Super strength(3)|Super strength|0
158|Super strength(3)|Super strength|0
159|Super strength(2)|Super strength|0
160|Super strength(2)|Super strength|0
161|Super strength(1)|Super strength|0
162|Super strength(1)|Super strength|0
163|Super defence(3)|Super defence|0
164|Super defence(3)|Super defence|0
165|Super defence(2)|Super defence|0
166|Super defence(2)|Super defence|0
167|Super defence(1)|Super defence|0
168|Super defence(1)|Super defence|0
169|Ranging potion(3)|Ranging potion|0
170|Ranging potion(3)|Ranging potion|0
171|Ranging potion(2)|Ranging potion|0
172|Ranging potion(2)|Ranging potion|0
173|Ranging potion(1)|Ranging potion|0
174|Ranging potion(1)|Ranging potion|0
175|Antipoison(3)|Antipoison|0
176|Antipoison(3)|Antipoison|0
177|Antipoison(2)|Antipoison|0
178|Antipoison(2)|Antipoison|0
179|Antipoison(1)|Antipoison|0
180|Antipoison(1)|Antipoison|0
181|Superantipoison(3)|Superantipoison|0
182|Superantipoison(3)|Superantipoison|0
183|Superantipoison(2)|Superantipoison|0
184|Superantipoison(2)|Superantipoison|0
185|Superantipoison(1)|Superantipoison|0
186|Superantipoison(1)|Superantipoison|0
189|Zamorak brew(3)|Zamorak brew|0
190|Zamorak brew(3)|Zamorak brew|0
191|Zamorak brew(2)|Zamorak brew|0
192|Zamorak brew(2)|Zamorak brew|0
193|Zamorak brew(1)|Zamorak brew|0
194|Zamorak brew(1)|Zamorak brew|0
273|Poison|Poison (item)|0
275|Key|Key (Ernest the Chicken)|0
286|Orange goblin mail|Orange goblin mail|6
287|Blue goblin mail|Blue goblin mail|6
288|Goblin mail|Goblin mail|6
291|Notes|Notes (Rune Mysteries)|0
293|A key|A key (Waterfall Dungeon)|0
298|A key|A key (Tree Gnome Village dungeon)|0
323|Burnt fish|Burnt fish (anchovies)|0
324|Burnt fish|Burnt fish (anchovies)|0
343|Burnt fish|Burnt fish (trout)|0
344|Burnt fish|Burnt fish (trout)|0
357|Burnt fish|Burnt fish (herring)|0
358|Burnt fish|Burnt fish (herring)|0
367|Burnt fish|Burnt fish (tuna)|0
368|Burnt fish|Burnt fish (tuna)|0
369|Burnt fish|Burnt fish (sardine)|0
370|Burnt fish|Burnt fish (sardine)|0
421|Lathas' amulet|None|2
423|Key|Key (Biohazard)|0
426|Priest gown|Priest gown (top)|0
427|Priest gown|Priest gown (top)|0
